Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.9375000,115.9687500,INVALID,F,,,,
XCME.ZT.SEP25,103.9257812,103.9296875,INVALID,F,,,,
XCME.ZF.SEP25,109.0312500,109.0390625,INVALID,F,,,,
XCME.ZN.SEP25,112.2500000,112.2656250,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.GY1.05AUG25.111:5.C,.7343750,.8437500,111.5000000,C,.7656250,,,
XCME.GY1.05AUG25.110.C,2.2343750,2.3437500,110,C,2.2656249,,,
XCME.GY1.05AUG25.113:25.P,.9687500,1,113.2500000,P,.9843749,,,
XCME.GY1.05AUG25.111:5.P,INVALID,.0069999,111.5000000,P,0,,,
XCME.GY1.05AUG25.113:75.P,1.4062500,1.5156250,113.7500000,P,1.4843750,,,
XCME.GY1.05AUG25.113:25.C,INVALID,.0069999,113.2500000,C,0,,,
XCME.GY1.05AUG25.110:75.P,INVALID,.0069999,110.7500000,P,0,,,
XCME.GY1.05AUG25.112:5.C,INVALID,.0069999,112.5000000,C,.0001153,,1262.3924776,1082.3397312
XCME.GY1.05AUG25.112:75.C,INVALID,.0069999,112.7500000,C,0,,,1912.0067548
XCME.GY1.05AUG25.110:5.P,INVALID,.0069999,110.5000000,P,0,,,
XCME.GY1.05AUG25.114.C,INVALID,.0069999,114,C,0,,,
